Date,Open,High,Low,Close,Adj Close,Volume
5/7/2018,949.846375,964.111206,947.369873,961.882324,941.294373,3545827
5/8/2018,968.321289,972.779053,956.13678,958.018921,937.513672,4980805
5/9/2018,956.8302,975.057434,953.214478,967.528809,946.820068,4537025
5/10/2018,970.797791,975.354614,965.101807,971.937012,951.13385,4052699
5/11/2018,972.036072,981.991699,968.568909,979.960938,958.986084,4049541
5/14/2018,982.63562,982.63562,967.528809,977.335815,956.417114,2604012
5/15/2018,973.819153,990.609985,967.479248,969.75769,949.001221,4846430
5/16/2018,964.854126,964.854126,943.506531,947.171753,926.898743,8695009
5/17/2018,950.341736,950.985596,932.659302,936.473145,916.429138,4778345
5/18/2018,936.720825,944.546631,923.248535,925.081177,905.280945,5279612
5/21/2018,922.010254,926.913757,913.441467,922.604614,902.857422,6687690
5/22/2018,924.387756,925.229736,916.31427,918.047852,898.398132,5219596
5/23/2018,917.304871,917.304871,900.613098,903.68396,884.341736,4610857
5/24/2018,905.417542,912.351807,901.603699,907.250183,887.831604,5368392
5/25/2018,907.398743,914.729309,905.863342,912.153687,892.630127,8206579
5/28/2018,916.21521,918.295471,909.479065,911.757446,892.242371,5247105
5/29/2018,912.847107,919.286072,905.813782,908.835144,889.38269,8250871
5/30/2018,906.259583,914.531189,898.087036,907.497803,888.073975,6048012
5/31/2018,912.351807,913.639587,905.962402,912.698547,893.163391,17112487
6/1/2018,911.361206,926.963318,909.825745,921.812134,902.081909,8848926
6/4/2018,924.635376,935.135864,921.812134,932.015442,912.066833,5653442
6/5/2018,933.947144,946.032532,932.164001,938.751587,918.658691,8047086
6/6/2018,938.107666,947.023193,933.798523,945.438171,925.202209,4229195
6/7/2018,945.933472,966.835388,945.487732,962.229004,941.633667,6922300
6/8/2018,957.276001,977.286316,951.579956,975.106934,954.235962,6594521
6/11/2018,977.831116,990.560486,969.85675,973.422913,952.587952,6931136
6/12/2018,974.165894,990.609985,971.094971,987.786743,966.644409,7515794
6/13/2018,990.609985,996.45459,980.208618,993.086548,971.830688,5982192
6/14/2018,988.083923,1002.299194,978.128296,998.485352,977.114014,5536858
6/15/2018,996.55365,1013.889343,989.867065,1004.676697,983.172791,11401764
6/18/2018,999.327393,1010.867981,997.54425,1006.013977,984.481506,5705952
6/19/2018,1004.379456,1005.271057,984.319641,986.697083,965.578003,6406255
6/20/2018,986.647583,1013.294983,985.508362,1009.67926,988.068298,7262014
6/21/2018,1013.839783,1026.271973,1011.710022,1022.26001,1000.379822,10609377
6/22/2018,1018.743347,1019.535828,998.980652,1002.992615,981.52478,16323253
6/25/2018,1001.902954,1006.955078,992.888428,995.01825,973.72113,5246962
6/26/2018,996.55365,996.55365,966.092407,969.75769,949.001221,8145067
6/27/2018,969.31189,976.147095,953.660278,956.780701,942.075989,9043473
6/28/2018,952.966797,959.405762,931.470581,936.076904,921.690369,8662575
6/29/2018,940.187988,966.340088,940.088867,963.318726,948.51355,8041914
7/2/2018,963.219666,963.219666,948.013794,951.579956,936.9552,6724054
7/3/2018,955.93866,969.26239,951.332336,962.179504,947.391846,5115293
7/4/2018,962.674805,982.68512,961.882324,980.802979,965.729004,5048125
7/5/2018,987.638184,998.931152,949.598755,955.443359,940.759216,18896793
7/6/2018,955.690979,973.769653,955.443359,968.370789,953.487915,9248105
7/9/2018,977.831116,990.609985,974.264954,987.737244,972.556763,5219197
7/10/2018,993.334167,1018.842407,990.609985,1016.068665,1000.452759,10543516
7/11/2018,1015.375244,1031.125977,1008.292419,1029.045654,1013.230286,8747208
7/12/2018,1034.543579,1088.68042,1032.809937,1072.186768,1055.708374,24337829
7/13/2018,1070.354126,1098.586548,1069.858765,1089.4729,1072.72876,18137593
